row	weekday	time	conf	national_tv	opp_win_p	opp_all_stars	win_p	attendance
1	Sa	2:00 pm	conference	No	40% - 60%	0	0.46938585244440606	13084
2	Th	7:00 pm	conference	No	More than 60%	1	0.49513178152901144	17591
3	Fr	5:00 pm	conference	Yes	More than 60%	1	0.5045681112817856	17717
4	M	5:00 pm	conference	Yes	Less than 40%	0	0.3581047836431147	11058
5	Th	7:00 pm	conference	Yes	More than 60%	0	0.7023851952296815	15986
6	Tu	7:00 pm	Rivalry	Yes	40% - 60%	0	0.5114801242312699	19656
7	Su	7:00 pm	Non-Conference	No	40% - 60%	2	0.4555028634016454	14529
8	Fr	5:00 pm	Non-Conference	No	40% - 60%	0	0.3889892046738613	12386
9	Su	7:00 pm	Non-Conference	Yes	40% - 60%	1	0.7770148744239058	13283
10	Su	2:00 pm	Non-Conference	Yes	More than 60%	1	0.5004772664702962	12527
11	Fr	2:00 pm	Non-Conference	No	Less than 40%	2	0.47204016411926103	9829
12	W	7:00 pm	conference	Yes	More than 60%	0	0.5810453031630062	16566
13	M	7:00 pm	conference	Yes	More than 60%	1	0.5063661509458793	17125
14	M	5:00 pm	conference	No	40% - 60%	0	0.4966280730092953	13276
15	W	7:00 pm	conference	Yes	40% - 60%	1	0.3400434290693428	15347
16	M	7:00 pm	Non-Conference	No	40% - 60%	2	0.5303891410872967	13176
17	Su	7:00 pm	conference	Yes	40% - 60%	0	0.5706774244903711	15386
18	Sa	7:00 pm	conference	No	More than 60%	2	0.5151045166936868	21156
19	W	5:00 pm	conference	Yes	Less than 40%	1	0.4414903189437157	12566
20	Sa	7:00 pm	Non-Conference	Yes	More than 60%	3	0.4703704437552202	18129
21	Th	7:00 pm	conference	Yes	Less than 40%	0	0.4163030240133917	11461
22	Th	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.28482458414154377	8444
23	Th	5:00 pm	Non-Conference	No	Less than 40%	0	0.4035341661745227	8439
24	M	5:00 pm	Non-Conference	Yes	More than 60%	1	0.3712979030883744	12595
25	Fr	7:00 pm	conference	Yes	More than 60%	0	0.351428489740901	17909
26	Fr	7:00 pm	conference	Yes	Less than 40%	0	0.4341235322845218	13968
27	M	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.42105092747263273	9168
28	Tu	2:00 pm	conference	Yes	40% - 60%	1	0.7305517497888805	12349
29	Th	7:00 pm	Non-Conference	No	More than 60%	1	0.5373171069644308	14117
30	Th	2:00 pm	Non-Conference	Yes	40% - 60%	0	0.5015223098988324	8283
31	W	7:00 pm	conference	No	More than 60%	0	0.32066472775700383	15649
32	M	5:00 pm	Non-Conference	Yes	40% - 60%	1	0.422442863945344	11014
33	W	7:00 pm	conference	No	40% - 60%	0	0.3863585738699316	14266
34	Fr	7:00 pm	Non-Conference	Yes	Less than 40%	0	0.4034545166673607	9705
35	Th	7:00 pm	Non-Conference	No	40% - 60%	0	0.4568984567714347	11734
36	M	7:00 pm	Non-Conference	No	More than 60%	1	0.47865343579877734	14334
37	W	7:00 pm	conference	No	Less than 40%	0	0.5245239192072298	11866
38	M	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.42466554700281617	10378
39	Su	5:00 pm	Non-Conference	Yes	Less than 40%	1	0.6534358600533172	11447
40	Fr	7:00 pm	Non-Conference	No	More than 60%	0	0.4508149709392106	15503
41	Th	5:00 pm	Non-Conference	No	40% - 60%	1	0.5493427598856373	11917
42	Su	7:00 pm	Non-Conference	No	More than 60%	1	0.5838428907922789	15211
43	Su	2:00 pm	conference	Yes	Less than 40%	1	0.5445041885344047	11365
44	Sa	5:00 pm	Non-Conference	Yes	Less than 40%	0	0.5515815353754068	9644
45	Th	7:00 pm	conference	No	More than 60%	2	0.5820417589251675	18445
46	Su	7:00 pm	conference	No	40% - 60%	0	0.5092276741264233	15410
47	W	7:00 pm	conference	Yes	More than 60%	1	0.5962400299503501	18154
48	Fr	5:00 pm	conference	Yes	More than 60%	0	0.6485173931938617	17151
49	Tu	7:00 pm	Non-Conference	Yes	More than 60%	1	0.3982513557669004	13262
50	Sa	5:00 pm	Non-Conference	No	Less than 40%	0	0.5648223251606204	10151
51	M	5:00 pm	Non-Conference	No	40% - 60%	0	0.5889175943945724	10945
52	W	5:00 pm	Rivalry	Yes	Less than 40%	0	0.40508140494182066	15949
53	Su	7:00 pm	conference	Yes	More than 60%	1	0.2143258921609582	18407
54	Su	2:00 pm	Non-Conference	No	Less than 40%	1	0.5312512121714751	8554
55	Su	5:00 pm	Non-Conference	Yes	40% - 60%	0	0.3485664763880567	10885
56	Sa	7:00 pm	conference	Yes	40% - 60%	0	0.37854905821516527	15778
57	Fr	7:00 pm	conference	No	40% - 60%	1	0.4446227780522714	17522
58	M	7:00 pm	conference	Yes	40% - 60%	1	0.35443547782927576	15206
59	Tu	5:00 pm	conference	No	40% - 60%	0	0.27580927766905766	13775
60	Su	5:00 pm	conference	No	More than 60%	2	0.5056544317389223	18269
61	Fr	5:00 pm	conference	Yes	40% - 60%	1	0.435475269626484	14260
62	Th	5:00 pm	Non-Conference	No	Less than 40%	0	0.5609878427524374	8484
63	M	7:00 pm	Non-Conference	No	Less than 40%	1	0.46786409619844854	10789
