post_id	make	model	year	odometer	vin	title_status	cylinders	crumb_area	crumb_subarea	price
6502464125	Subaru		2004	130000	jf1gd60674l4003	clean	4 cylinders	minneapolis	dakota/scott	8700
6490888702	Subaru		2011			clean		minneapolis	dakota/scott	13000
6503470025	Subaru		2013			clean		atlanta	atlanta	16000
6518604851	Subaru		2013	57900		clean	4 cylinders	minneapolis	carv/sher/wri	17999
6489939356	Subaru		2014	47000		rebuilt	4 cylinders	missoula		22500
6501687278	Subaru		2004	172000		clean	4 cylinders	minneapolis	hennepin co	12500
6509947372	Subaru		1995	200700		clean		missoula		2250
6505900554	Subaru		2006	130000		clean	4 cylinders	atlanta	atlanta	15000
6508391511	Subaru		2013	60000		lien	4 cylinders	atlanta	otp north	17000
6499857379	Subaru		2010	144000		clean	6 cylinders	missoula		8200
6486976979	Subaru		2006	84000		clean	4 cylinders	atlanta	otp west	4000
6518356670	Subaru		1999			clean	4 cylinders	minneapolis	washington/WI	975
6505745275	Subaru		2002	150000		rebuilt		missoula		5495
6486125079	Subaru		2007	263000		clean	4 cylinders	minneapolis	dakota/scott	2999
6513312319	Subaru		2013	56000		lien	4 cylinders	atlanta	atlanta	17000
6486076892	Subaru		2008			clean		atlanta	otp north	5795
6492147045	Subaru		1995	164000		clean		missoula		2700
6516807506	Subaru		2013	53240	JF1ZCAC15D2608881	rebuilt	4 cylinders	minneapolis	anok/chis/isa	11950
6484530718	Subaru		2017	9500	4S3BNAB6XH3021238	rebuilt	4 cylinders	minneapolis	hennepin co	16950
6516884967	Subaru		2008	92260		clean	4 cylinders	minneapolis	ramsey co	6800
6510651354	Subaru		2006			clean		atlanta	otp north	3200
6503416638	Subaru		2013	98000		clean		minneapolis	washington/WI	17500
6518110747	Subaru		2004	132000		clean	4 cylinders	minneapolis	ramsey co	11800
6515216798	Subaru		2009	203000		rebuilt	4 cylinders	minneapolis	anok/chis/isa	4000
6497733438	Subaru		2005	164000		salvage	4 cylinders	minneapolis	ramsey co	4500
6501112693	Subaru		2005			clean		minneapolis	washington/WI	1500
